ouname,ou,disease,min,max
Biryogo CS,cnZq6rFqlBp,Measles,2017-08-14,2017-10-03
Gakenke CS,zeGIzxjPn63,Measles,2017-05-08,2017-07-20
Gashora CS,BPZcHDS6OO0,Measles,2017-10-23,2017-10-23
Gatare (macuba) CS,onpoMlG8USF,Measles,2017-09-04,2017-09-04
Kirehe CS,MhBmdVh6BAw,Measles,2017-08-21,2017-08-21
Kizibere CS,j2qbe5TmxKy,Measles,2017-08-29,2017-10-17
Masoro CS,zCEvUUHSHtU,Measles,2017-05-25,2017-05-25
Nkombo CS,nIlIEOPhfbj,Measles,2017-07-04,2017-07-04
Nyarurama CS,gFxLFth8Aw4,Measles,2017-08-24,2017-10-09
Rukoma Sake CS,e594asJLvCr,Measles,2017-10-10,2017-10-10
Rurenge CS,X9TV6fJEaTU,Measles,2017-09-16,2017-10-04
